run_accession	library_layout	read_count	base_count	sample_title	fastq_ftp
SRR27639556	PAIRED	16813629	5044088700	Plant sample from Solanum lycopersicum	ftp.sra.ebi.ac.uk/vol1/fastq/SRR276/056/SRR27639556/SRR27639556_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR276/056/SRR27639556/SRR27639556_2.fastq.gz
SRR27639562	PAIRED	95825869	28747760700	Plant sample from Solanum lycopersicum	ftp.sra.ebi.ac.uk/vol1/fastq/SRR276/062/SRR27639562/SRR27639562_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR276/062/SRR27639562/SRR27639562_2.fastq.gz
SRR27639564	PAIRED	61656065	18620131630	Plant sample from Solanum lycopersicum	ftp.sra.ebi.ac.uk/vol1/fastq/SRR276/064/SRR27639564/SRR27639564_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR276/064/SRR27639564/SRR27639564_2.fastq.gz
SRR27639573	PAIRED	88248182	26474454600	Plant sample from Solanum lycopersicum	ftp.sra.ebi.ac.uk/vol1/fastq/SRR276/073/SRR27639573/SRR27639573_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR276/073/SRR27639573/SRR27639573_2.fastq.gz
SRR27639574	PAIRED	70544119	21163235700	Plant sample from Solanum lycopersicum	ftp.sra.ebi.ac.uk/vol1/fastq/SRR276/074/SRR27639574/SRR27639574_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR276/074/SRR27639574/SRR27639574_2.fastq.gz
SRR27639575	PAIRED	69126057	20737817100	Plant sample from Solanum lycopersicum	ftp.sra.ebi.ac.uk/vol1/fastq/SRR276/075/SRR27639575/SRR27639575_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR276/075/SRR27639575/SRR27639575_2.fastq.gz
SRR27639576	PAIRED	69449903	20834970900	Plant sample from Solanum lycopersicum	ftp.sra.ebi.ac.uk/vol1/fastq/SRR276/076/SRR27639576/SRR27639576_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR276/076/SRR27639576/SRR27639576_2.fastq.gz
SRR27639577	PAIRED	94817500	28445250000	Plant sample from Solanum lycopersicum	ftp.sra.ebi.ac.uk/vol1/fastq/SRR276/077/SRR27639577/SRR27639577_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR276/077/SRR27639577/SRR27639577_2.fastq.gz
SRR27639579	PAIRED	70176689	21053006700	Plant sample from Solanum lycopersicum	ftp.sra.ebi.ac.uk/vol1/fastq/SRR276/079/SRR27639579/SRR27639579_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR276/079/SRR27639579/SRR27639579_2.fastq.gz
SRR27639581	PAIRED	77901899	23370569700	Plant sample from Solanum lycopersicum	ftp.sra.ebi.ac.uk/vol1/fastq/SRR276/081/SRR27639581/SRR27639581_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR276/081/SRR27639581/SRR27639581_2.fastq.gz
SRR27639583	PAIRED	78287001	23486100300	Plant sample from Solanum lycopersicum	ftp.sra.ebi.ac.uk/vol1/fastq/SRR276/083/SRR27639583/SRR27639583_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR276/083/SRR27639583/SRR27639583_2.fastq.gz
SRR27639584	PAIRED	92930595	27879178500	Plant sample from Solanum lycopersicum	ftp.sra.ebi.ac.uk/vol1/fastq/SRR276/084/SRR27639584/SRR27639584_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR276/084/SRR27639584/SRR27639584_2.fastq.gz
SRR27639585	PAIRED	83172977	24951893100	Plant sample from Solanum lycopersicum	ftp.sra.ebi.ac.uk/vol1/fastq/SRR276/085/SRR27639585/SRR27639585_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR276/085/SRR27639585/SRR27639585_2.fastq.gz
SRR27639588	PAIRED	73105636	21931690800	Plant sample from Solanum lycopersicum	ftp.sra.ebi.ac.uk/vol1/fastq/SRR276/088/SRR27639588/SRR27639588_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR276/088/SRR27639588/SRR27639588_2.fastq.gz
SRR27639589	PAIRED	74542098	22362629400	Plant sample from Solanum lycopersicum	ftp.sra.ebi.ac.uk/vol1/fastq/SRR276/089/SRR27639589/SRR27639589_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR276/089/SRR27639589/SRR27639589_2.fastq.gz
SRR27639594	PAIRED	66281021	19884306300	Plant sample from Solanum lycopersicum	ftp.sra.ebi.ac.uk/vol1/fastq/SRR276/094/SRR27639594/SRR27639594_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR276/094/SRR27639594/SRR27639594_2.fastq.gz
SRR27639604	PAIRED	75919715	22775914500	Plant sample from Solanum lycopersicum	ftp.sra.ebi.ac.uk/vol1/fastq/SRR276/004/SRR27639604/SRR27639604_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR276/004/SRR27639604/SRR27639604_2.fastq.gz
SRR27639606	PAIRED	79505793	23851737900	Plant sample from Solanum lycopersicum	ftp.sra.ebi.ac.uk/vol1/fastq/SRR276/006/SRR27639606/SRR27639606_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR276/006/SRR27639606/SRR27639606_2.fastq.gz
SRR27639607	PAIRED	65922368	19776710400	Plant sample from Solanum lycopersicum	ftp.sra.ebi.ac.uk/vol1/fastq/SRR276/007/SRR27639607/SRR27639607_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR276/007/SRR27639607/SRR27639607_2.fastq.gz
SRR27639610	PAIRED	74449473	22334841900	Plant sample from Solanum lycopersicum	ftp.sra.ebi.ac.uk/vol1/fastq/SRR276/010/SRR27639610/SRR27639610_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR276/010/SRR27639610/SRR27639610_2.fastq.gz
SRR27639611	PAIRED	79936363	23980908900	Plant sample from Solanum lycopersicum	ftp.sra.ebi.ac.uk/vol1/fastq/SRR276/011/SRR27639611/SRR27639611_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR276/011/SRR27639611/SRR27639611_2.fastq.gz
SRR27639613	PAIRED	69834413	20950323900	Plant sample from Solanum lycopersicum	ftp.sra.ebi.ac.uk/vol1/fastq/SRR276/013/SRR27639613/SRR27639613_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR276/013/SRR27639613/SRR27639613_2.fastq.gz
SRR27639617	PAIRED	97450308	29235092400	Plant sample from Solanum lycopersicum	ftp.sra.ebi.ac.uk/vol1/fastq/SRR276/017/SRR27639617/SRR27639617_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR276/017/SRR27639617/SRR27639617_2.fastq.gz
SRR27639621	PAIRED	76670650	23001195000	Plant sample from Solanum lycopersicum	ftp.sra.ebi.ac.uk/vol1/fastq/SRR276/021/SRR27639621/SRR27639621_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR276/021/SRR27639621/SRR27639621_2.fastq.gz
SRR27639623	PAIRED	79104175	23731252500	Plant sample from Solanum lycopersicum	ftp.sra.ebi.ac.uk/vol1/fastq/SRR276/023/SRR27639623/SRR27639623_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR276/023/SRR27639623/SRR27639623_2.fastq.gz
SRR27639624	PAIRED	81815118	24544535400	Plant sample from Solanum lycopersicum	ftp.sra.ebi.ac.uk/vol1/fastq/SRR276/024/SRR27639624/SRR27639624_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR276/024/SRR27639624/SRR27639624_2.fastq.gz
SRR27639625	PAIRED	79166699	23750009700	Plant sample from Solanum lycopersicum	ftp.sra.ebi.ac.uk/vol1/fastq/SRR276/025/SRR27639625/SRR27639625_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR276/025/SRR27639625/SRR27639625_2.fastq.gz
SRR27639626	PAIRED	91045027	27313508100	Plant sample from Solanum lycopersicum	ftp.sra.ebi.ac.uk/vol1/fastq/SRR276/026/SRR27639626/SRR27639626_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR276/026/SRR27639626/SRR27639626_2.fastq.gz
SRR27639627	PAIRED	86716428	26014928400	Plant sample from Solanum lycopersicum	ftp.sra.ebi.ac.uk/vol1/fastq/SRR276/027/SRR27639627/SRR27639627_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR276/027/SRR27639627/SRR27639627_2.fastq.gz
